architecture,scenario,seed,per_class,adaptation_examples,method_id,method,implementation,allocation,selected_learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1,clean_nll
mlp,mixed,311,10,100,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6777777777777778,1.5422098636627197,46,64,1832,0.3426816400001371,0.6305555555555555,0.6305134987913964,1.6043367385864258,0.8305555555555556,0.8264106657189197,1.2723437547683716
mlp,mixed,311,10,100,dora,DoRA,dora,4-4-4,0.03,1.0,0.7166666666666667,0.9628916382789612,21,39,2034,0.24367218799989132,0.6527777777777778,0.6512131627237496,1.1610411405563354,0.8583333333333333,0.8559279830983091,0.8375287652015686
mlp,mixed,311,10,100,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7222222222222222,1.3457231521606445,20,38,2024,0.1954984140002125,0.6277777777777778,0.6221847057087062,1.6115573644638062,0.85,0.8475951781042574,1.2804946899414062
mlp,mixed,311,10,100,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7083333333333334,1.056731104850769,27,45,1768,0.26942296900006113,0.65,0.650577081052528,1.2105470895767212,0.8583333333333333,0.8557992773264512,0.8727157711982727
mlp,mixed,311,20,200,lora,LoRA,lora,4-4-4,0.03,1.0,0.7583333333333333,1.0695044994354248,29,47,1832,0.33666657699995994,0.7444444444444445,0.7414006534359824,1.1887171268463135,0.8333333333333334,0.8294865813088945,1.3096274137496948
mlp,mixed,311,20,200,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7555555555555555,1.081516981124878,32,50,1832,0.36085517199990136,0.7111111111111111,0.7119376104140349,1.1352890729904175,0.8972222222222223,0.8981985045409223,0.6641627550125122
mlp,mixed,311,20,200,dora,DoRA,dora,4-4-4,0.03,1.0,0.7638888888888888,0.8046979904174805,25,43,2034,0.36232367499997054,0.7611111111111111,0.7591635717555401,0.7894420027732849,0.8583333333333333,0.8584395349087011,0.8428593277931213
mlp,mixed,311,20,200,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.75,1.2844096422195435,36,54,2024,0.39056806200005667,0.7361111111111112,0.7352456110673151,1.3729090690612793,0.85,0.8492565119297542,1.3193403482437134
mlp,mixed,311,20,200,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7527777777777778,0.7788613438606262,15,33,1768,0.26707139500013,0.7305555555555555,0.723314896887596,0.8588746786117554,0.8361111111111111,0.8313959005004119,0.7267837524414062
mlp,mixed,311,40,400,lora,LoRA,lora,4-4-4,0.03,1.0,0.7833333333333333,1.1520663499832153,27,45,1832,0.4589365129995713,0.75,0.7373734604166929,1.1494344472885132,0.7,0.6957914187452892,2.7697551250457764
mlp,mixed,311,40,400,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7694444444444445,1.147956132888794,48,66,1832,0.6908401189998585,0.7583333333333333,0.7579093746378163,1.1087077856063843,0.7666666666666667,0.7693712306483416,1.7205156087875366
mlp,mixed,311,40,400,dora,DoRA,dora,4-4-4,0.03,1.0,0.7805555555555556,0.7805822491645813,22,40,2034,0.467963938000139,0.75,0.7474179674528618,0.7661698460578918,0.7194444444444444,0.7261088712122807,1.826456069946289
mlp,mixed,311,40,400,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7833333333333333,1.2196178436279297,38,56,2024,0.5678460730000552,0.7611111111111111,0.7607535117622944,1.1292524337768555,0.675,0.6698166335903198,3.1610310077667236
mlp,mixed,311,40,400,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7805555555555556,0.7728398442268372,22,40,1768,0.48468827599981523,0.7638888888888888,0.758870781628568,0.7357959151268005,0.7361111111111112,0.7375647108114078,1.5848015546798706
mlp,mixed,312,5,50,lora,LoRA,lora,4-4-4,0.03,1.0,0.6416666666666667,1.838261604309082,20,38,1832,0.1639718339997671,0.6166666666666667,0.6091885917958686,2.1257567405700684,0.8083333333333333,0.8086070030509633,1.605712890625
