architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,rotation,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.8861111111111111,0.5567319989204407,82,100,122,1.698763070000041
cnn,rotation,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.8833333333333333,0.5059967041015625,113,120,122,2.1065543209997486
cnn,rotation,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.8694444444444445,0.5171146988868713,110,120,122,2.056079917000261
cnn,rotation,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.8944444444444445,0.555338442325592,119,120,122,2.0495851139999104
cnn,rotation,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.8972222222222223,0.49251869320869446,67,85,122,1.4398553460000585
cnn,rotation,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.8888888888888888,0.564365029335022,32,50,122,0.8605004380001446
cnn,rotation,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9027777777777778,0.5171470642089844,72,90,122,1.524609264999981
cnn,rotation,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.8777777777777778,0.5305979251861572,76,94,122,1.5900910790001035
cnn,rotation,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.9111111111111111,0.5445302128791809,108,120,122,2.3116590820000056
cnn,rotation,11,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9444444444444444,0.26053351163864136,90,108,1868,2.4314167289999205
cnn,rotation,22,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9472222222222222,0.2938179075717926,68,86,1868,1.98724563199994
cnn,rotation,33,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9388888888888889,0.3037927746772766,99,117,1868,2.7035583299998507
cnn,rotation,44,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9361111111111111,0.2572307884693146,86,104,1868,1.9975906089998716
cnn,rotation,55,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.9472222222222222,0.21266551315784454,84,102,1868,1.9945709789999455
cnn,rotation,11,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9527777777777777,0.20193876326084137,60,78,1868,1.5107619730001716
cnn,rotation,22,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9527777777777777,0.2477830946445465,28,46,1868,0.8974904470001093
cnn,rotation,33,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9416666666666667,0.2997865080833435,37,55,1868,1.1930157020001388
cnn,rotation,44,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.9333333333333333,0.27328523993492126,17,35,1868,0.7975319350002792
cnn,rotation,55,lora,LoRA,lora,4-4-4-4,0.01,1.0,0.95,0.1877947896718979,24,42,1868,0.9074790480003685
cnn,rotation,11,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9527777777777777,0.19496604800224304,10,28,1868,0.5489895820001038
cnn,rotation,22,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9638888888888889,0.19291871786117554,38,56,1868,1.084688279999682
cnn,rotation,33,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9611111111111111,0.2581656873226166,56,74,1868,1.4064397070001178
cnn,rotation,44,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9361111111111111,0.24952296912670135,25,43,1868,0.8118543850000606
cnn,rotation,55,lora,LoRA,lora,4-4-4-4,0.03,1.0,0.9694444444444444,0.17644941806793213,46,64,1868,1.2290663240000868
cnn,rotation,11,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9333333333333333,0.29293784499168396,83,101,1868,1.950299324000298
cnn,rotation,22,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9444444444444444,0.32059115171432495,109,120,1868,2.295065022000017
cnn,rotation,33,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9333333333333333,0.2935066521167755,100,118,1868,2.270741619999626
cnn,rotation,44,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9166666666666666,0.3495839536190033,59,77,1868,1.481773346999944
cnn,rotation,55,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,0.9333333333333333,0.25160571932792664,117,120,1868,2.3265873889999966
cnn,rotation,11,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9388888888888889,0.24549448490142822,59,77,1868,1.4863726149997092
cnn,rotation,22,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9583333333333334,0.2429102510213852,108,120,1868,2.3123787280001125
