architecture,scenario,seed,method_id,method,implementation,allocation,selected_learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1,clean_nll
cnn,rotation,206,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9444444444444444,0.2593097686767578,45,63,1990,1.3135498079996069,0.9555555555555556,0.9555763829936446,0.15428097546100616,0.8444444444444444,0.838254312269874,1.0729368925094604
cnn,rotation,207,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9472222222222222,0.18354175984859467,12,30,1990,0.6047946509997928,0.9444444444444444,0.9438872375536546,0.18823720514774323,0.8194444444444444,0.8266466198411389,0.8654568195343018
cnn,rotation,208,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9666666666666667,0.1252957284450531,45,63,1990,1.31022575399993,0.9527777777777777,0.9531074629106655,0.1366683393716812,0.7777777777777778,0.7835477784551961,1.355136513710022
cnn,rotation,209,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9444444444444444,0.2007925659418106,35,53,1990,1.086171042999922,0.9611111111111111,0.9609059342241848,0.1658860146999359,0.8166666666666667,0.8208416438501176,1.2097244262695312
cnn,rotation,210,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.2329876720905304,30,48,1990,1.0478822569998556,0.9666666666666667,0.9662265188283954,0.16558560729026794,0.8055555555555556,0.819975939790773,1.2244006395339966
cnn,rotation,201,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,202,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,203,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,204,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,205,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,206,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,207,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,208,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,209,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,210,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0,0.6027777777777777,0.5868226715851177,2.1164190769195557,0.975,0.9748717164345347,0.1429867148399353
cnn,rotation,201,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.95,0.2086622416973114,112,120,13706,2.0993125700001656,0.9694444444444444,0.9693793162139906,0.14427736401557922,0.8361111111111111,0.8414195557969142,1.0898879766464233
cnn,rotation,202,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9416666666666667,0.27737870812416077,79,97,13706,1.7220037919996685,0.9583333333333334,0.9580270950888694,0.13926662504673004,0.8388888888888889,0.845143826435859,0.9567050337791443
cnn,rotation,203,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9583333333333334,0.1908504068851471,119,120,13706,2.168255557000066,0.9527777777777777,0.952741932158123,0.15392902493476868,0.8472222222222222,0.8542496817339232,0.9992796182632446
cnn,rotation,204,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9583333333333334,0.20637181401252747,113,120,13706,2.0140737659999104,0.9611111111111111,0.9610714641580576,0.13799262046813965,0.8138888888888889,0.8227744808439927,1.3735454082489014
cnn,rotation,205,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9583333333333334,0.19883711636066437,110,120,13706,2.0268818739996277,0.9527777777777777,0.9520635238740868,0.16629603505134583,0.8111111111111111,0.8176405826836767,1.3451262712478638
cnn,rotation,206,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.925,0.32498887181282043,42,60,13706,0.9683320749995801,0.9583333333333334,0.9584092052533391,0.1569381207227707,0.8722222222222222,0.8760257586301563,0.8375494480133057
cnn,rotation,207,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.925,0.23653534054756165,74,92,13706,1.588915050000196,0.9638888888888889,0.9639587422307864,0.15651743113994598,0.8583333333333333,0.8653521898331116,0.907978892326355
