scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
contrast,22,Magnitude-only,0,0.03,0.9694444444444444,0.11754163573128486,13,31,202,0.9694444444444444,0.9693077600005431,0.10321377831872094,0.9027777777777778,0.9068752259518387
contrast,22,Full fine-tuning,0,0.001,0.9611111111111111,0.37851844024308673,11,29,17226,0.9611111111111111,0.961271901817104,0.3976667843326445,0.9194444444444444,0.9186202600027805
contrast,22,LoRA,1,0.003,0.95,0.8816882071034282,10,28,458,0.9555555555555556,0.9555957577569553,0.9065451494254435,0.7138888888888889,0.7343582376541582
contrast,22,LoRA,2,0.03,0.9555555555555556,0.1911981964013382,24,42,916,0.9472222222222222,0.94689288141567,0.1761077906068502,0.8722222222222222,0.8717519334129488
contrast,22,LoRA,4,0.03,0.9527777777777777,0.7643835050762757,1,19,1832,0.9444444444444444,0.943820367470682,0.7955367495192343,0.8361111111111111,0.8263776439423103
contrast,22,LoRA,8,0.003,0.9555555555555556,0.4964251444093344,8,26,3664,0.95,0.9498655022882305,0.523271899053364,0.775,0.7781444852365009
contrast,22,DoRA,1,0.003,0.9555555555555556,0.18839366394696705,83,101,660,0.9666666666666667,0.9665948696026099,0.18634602016919913,0.575,0.5746022017506327
contrast,22,DoRA,2,0.01,0.9611111111111111,0.22042383249213834,27,45,1118,0.9388888888888889,0.9387798378274805,0.23294096171673714,0.8305555555555556,0.8253253377001928
contrast,22,DoRA,4,0.03,0.9555555555555556,0.6136549688889213,1,19,2034,0.9472222222222222,0.9471751004608423,0.644463367808234,0.8666666666666667,0.8591088404955762
contrast,22,DoRA,8,0.003,0.9555555555555556,0.5227922159537989,8,26,3866,0.9555555555555556,0.9554211424354199,0.5505725188497128,0.7666666666666667,0.7709312453274114
contrast,33,Frozen,0,0.0,0.7722222222222223,1.200650383455061,0,0,0,0.775,0.7329448733881521,1.2232364796395894,0.975,0.9750206860286077
contrast,33,Magnitude-only,0,0.03,0.9666666666666667,0.11555696150507742,14,32,202,0.9666666666666667,0.9666419847524965,0.10212643433918787,0.9111111111111111,0.914330405088483
