architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,1768,0.7594444444444444,0.021659542988464314,0.8517053365707398,38.2,3.5399054770000475,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,1768,0.7588888888888888,0.02408831487630977,0.7935306787490845,16.6,2.1413711869995495,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,1768,0.7588888888888888,0.020165212680979466,0.8108617067337036,58.6,4.634266231999845,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,1768,0.7655555555555555,0.019204873352715108,0.8351572990417481,32.0,3.430646395999247,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,1768,0.775,0.020879578303295693,0.7397659301757813,14.4,2.073199461000513,5
mlp,mixed,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.4805555555555555,0.0,3.288990020751953,0.0,0.0,5
mlp,mixed,full,Full fine-tuning,full,0-0-0,0.0001,1.0,17226,0.6861111111111111,0.012108052620946283,1.280666708946228,101.0,5.008426184000655,5
mlp,mixed,full,Full fine-tuning,full,0-0-0,0.0003,1.0,17226,0.7377777777777778,0.014380199006160834,0.8905822396278381,108.0,5.181323390000216,5
mlp,mixed,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.7722222222222223,0.024453912307859746,0.9083261013031005,79.0,4.3323595130000285,5
mlp,mixed,lora,LoRA,lora,4-4-4,0.003,1.0,1832,0.7594444444444445,0.01685083432011456,0.8497142910957336,54.8,3.7122517350003363,5
mlp,mixed,lora,LoRA,lora,4-4-4,0.01,1.0,1832,0.755,0.014751020052613065,0.8706815719604493,23.0,2.0925229529998433,5
mlp,mixed,lora,LoRA,lora,4-4-4,0.03,1.0,1832,0.7655555555555555,0.0129695750332542,0.9436532497406006,16.0,1.7366024319990174,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,1980,0.7577777777777778,0.01997297556916392,0.8709467887878418,55.4,3.716840562000016,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,1980,0.7555555555555555,0.01810889557000735,1.001317846775055,35.6,2.6922725690001243,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,1980,0.7711111111111111,0.02394373548834446,0.9073776721954345,13.4,1.5549245489996792,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,2024,0.7566666666666666,0.019895560643855524,0.8466933608055115,55.0,3.686290697000004,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,2024,0.7583333333333333,0.01810889557000734,0.894846749305725,24.6,2.1127653370003827,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,2024,0.7694444444444445,0.017894581564896032,0.9277104139328003,18.0,1.7966722500004835,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,2024,0.7661111111111112,0.018151454725227282,0.8562673687934875,62.6,4.327397703999395,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,2024,0.76,0.02329030424028288,1.0233911871910095,30.8,2.5560640689996035,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,2024,0.7755555555555556,0.01563965362251028,1.096580445766449,22.0,1.9824236820004444,5
mlp,mixed,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,1832,0.7372222222222222,0.016029486718059444,0.901180624961853,108.2,6.636135329999888,5
mlp,mixed,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,1832,0.7494444444444445,0.021995369883143497,0.9502337336540222,51.8,3.6547792520000257,5
mlp,mixed,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,1832,0.7622222222222221,0.017633966942337653,1.0407684206962586,31.0,2.3805598410003768,5
mlp,mixed,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,202,0.6094444444444445,0.019104165404499343,1.7750193119049071,48.4,2.8371214389999295,5
mlp,mixed,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,202,0.63,0.020165212680979507,1.363204336166382,49.0,2.828473529000348,5
mlp,mixed,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.6966666666666667,0.015639653622510272,0.9186266183853149,95.6,4.815529698000319,5
mlp,rotation,dora,DoRA,dora,4-4-4,0.003,1.0,2034,0.9311111111111112,0.011686491093312577,0.25972749590873717,86.8,7.2086227869999675,5
mlp,rotation,dora,DoRA,dora,4-4-4,0.01,1.0,2034,0.9361111111111111,0.012422599874998825,0.24141500294208526,42.6,3.661692222000056,5
mlp,rotation,dora,DoRA,dora,4-4-4,0.03,1.0,2034,0.9438888888888888,0.009899183156225235,0.21781789660453796,38.2,3.4834451529998205,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,1798,0.928888888888889,0.008240220541217423,0.2656582653522491,111.4,6.9529854769998565,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,1798,0.9311111111111112,0.013234588055079554,0.24325264394283294,43.0,3.712143033999382,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,1798,0.9427777777777777,0.010504261333993875,0.2152115136384964,39.0,3.6795613600011166,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,1768,0.9272222222222222,0.010467468711898197,0.26470027267932894,98.6,6.78476098200008,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,1768,0.9372222222222222,0.011214794021214645,0.23819825053215027,56.0,4.218492449000223,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,1768,0.9427777777777777,0.007505142270059023,0.21200872957706451,36.2,3.118673552999553,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,1768,0.93,0.010829771494232171,0.25571344792842865,93.4,7.195094562000122,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,1768,0.9349999999999999,0.012515422584520895,0.23834799826145173,48.6,4.142536493999614,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,1768,0.9416666666666667,0.010936122047238617,0.2363439530134201,30.0,3.090546085999904,5
mlp,rotation,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.5111111111111111,0.0,4.242985725402832,0.0,0.0,5
mlp,rotation,full,Full fine-tuning,full,0-0-0,0.0001,1.0,17226,0.8333333333333334,0.0065144663330881656,0.8459391951560974,120.0,6.272384901000123,5
mlp,rotation,full,Full fine-tuning,full,0-0-0,0.0003,1.0,17226,0.9044444444444444,0.0072435582280029175,0.3903987467288971,116.4,5.580575094999631,5
mlp,rotation,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.928888888888889,0.005046083923495802,0.29560463428497313,93.4,5.155493757000158,5
mlp,rotation,lora,LoRA,lora,4-4-4,0.003,1.0,1832,0.928888888888889,0.008914892519934018,0.27385545074939727,95.0,5.876832887000091,5
mlp,rotation,lora,LoRA,lora,4-4-4,0.01,1.0,1832,0.9355555555555556,0.010650160840378184,0.27326616644859314,48.2,3.8343230329999187,5
mlp,rotation,lora,LoRA,lora,4-4-4,0.03,1.0,1832,0.9372222222222222,0.015035965114138182,0.255110090970993,24.6,2.2609675080000216,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,1980,0.928888888888889,0.0075051422700590465,0.27782964408397676,93.6,5.562866838000218,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,1980,0.9349999999999999,0.010130323627116952,0.2783702552318573,55.8,3.864419570999871,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,1980,0.9411111111111111,0.008651339723554105,0.26636436581611633,33.4,2.706887825999729,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,2024,0.9283333333333333,0.011351564856501439,0.27651052474975585,81.6,5.470773749000045,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,2024,0.9377777777777778,0.009337631285539747,0.2739529341459274,45.6,3.391780204999577,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,2024,0.9405555555555555,0.011041448285750974,0.2681787461042404,31.2,2.5471634630005155,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,2024,0.928888888888889,0.006972166887783951,0.2776471138000488,77.2,5.069935197999712,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,2024,0.9349999999999999,0.012203268131382622,0.26923316419124604,35.2,2.8488214360002075,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,2024,0.9427777777777777,0.010504261333993865,0.26235739290714266,35.4,2.873977585000148,5
mlp,rotation,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,1832,0.9077777777777778,0.004969039949999509,0.33884809017181394,111.4,6.419984557999896,5
mlp,rotation,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,1832,0.9277777777777778,0.008098544298396265,0.28648933172225954,66.6,4.338424344000259,5
mlp,rotation,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,1832,0.93,0.0069166108877715266,0.28377304375171664,36.4,2.959531001999949,5
mlp,rotation,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,202,0.7455555555555555,0.0031671539586087,0.8465357422828674,118.2,5.539038769999934,5
mlp,rotation,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,202,0.8133333333333332,0.009899183156225224,0.6135167598724365,118.6,5.651706477999596,5
mlp,rotation,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.865,0.01369306393762915,0.4457555592060089,109.2,5.375322709999637,5
